RXCUI,HCPCS,STR,TTY
1145929,J0129,1 ML abatacept 125 MG/ML Prefilled Syringe,SCD
1925254,J0129,0.4 ML abatacept 125 MG/ML Prefilled Syringe,SCD
1925256,J0129,0.7 ML abatacept 125 MG/ML Prefilled Syringe,SCD
616015,J0129,abatacept 250 MG Injection,SCD
241162,J0130,5 ML abciximab 2 MG/ML Injection,SCD
483017,J0131,100 ML Acetaminophen 10 MG/ML Injection,SCD
465377,J0132,30 ML Acetylcysteine 200 MG/ML Injection,SCD
1734932,J0133,10 ML Acyclovir 50 MG/ML Injection,SCD
1734933,J0133,Acyclovir 50 MG/ML Injection,SCD
1734934,J0133,20 ML Acyclovir 50 MG/ML Injection,SCD
248108,J0133,Acyclovir 25 MG/ML Injectable Solution,SCD
313812,J0133,Acyclovir 50 MG/ML Injectable Solution,SCD
1551887,J0135,0.2 ML adalimumab 50 MG/ML Prefilled Syringe,SCD
1726844,J0135,0.4 ML adalimumab 100 MG/ML Prefilled Syringe,SCD
1921009,J0135,0.1 ML adalimumab 100 MG/ML Prefilled Syringe,SCD
1921016,J0135,0.2 ML adalimumab 100 MG/ML Prefilled Syringe,SCD
727703,J0135,0.8 ML adalimumab 50 MG/ML Prefilled Syringe,SCD
763564,J0135,0.4 ML adalimumab 50 MG/ML Prefilled Syringe,SCD
1654035,J0153,20 ML Adenosine 3 MG/ML Injection,SCD
1654038,J0153,Adenosine 3 MG/ML Injection,SCD
1654040,J0153,30 ML Adenosine 3 MG/ML Injection,SCD
1654169,J0153,2 ML Adenosine 3 MG/ML Injection,SCD
1654186,J0153,4 ML Adenosine 3 MG/ML Injection,SCD
727355,J0153,4 ML Adenosine 3 MG/ML Prefilled Syringe,SCD
727360,J0153,2 ML Adenosine 3 MG/ML Prefilled Syringe,SCD
1660014,J0171,1 ML Epinephrine 1 MG/ML Injection,SCD
1870207,J0171,NDA019430 0.3 ML Epinephrine 1 MG/ML Auto-Injector,SCD
1870225,J0171,NDA020800 0.15 ML Epinephrine 1 MG/ML Auto-Injector,SCD
1870230,J0171,NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector,SCD
1991328,J0171,NDA201739 0.1 ML Epinephrine 1 MG/ML Auto-Injector,SCD
310132,J0171,Epinephrine 1 MG/ML Injectable Solution,SCD
727316,J0171,NDA019430 0.3 ML Epinephrine 0.5 MG/ML Auto-Injector,SCD
727373,J0171,10 ML Epinephrine 0.1 MG/ML Prefilled Syringe,SCD
1232154,J0178,0.05 ML aflibercept 40 MG/ML Injection,SCD
1804755,J0180,agalsidase beta 35 MG Injection,SCD
1804760,J0180,agalsidase beta 5 MG Injection,SCD
1995150,J0185,18 ML aprepitant 7.2 MG/ML Injection,SCD
200195,J0200,alatrofloxacin 5 MG/ML Injectable Solution,SCD
1594658,J0202,1.2 ML alemtuzumab 10 MG/ML Injection,SCD
828265,J0202,1 ML alemtuzumab 30 MG/ML Injection,SCD
307823,J0205,alglucerase 10 UNT/ML Injectable Solution,SCD
307824,J0205,alglucerase 80 UNT/ML Injectable Solution,SCD
308096,J0207,Amifostine 500 MG Injection,SCD
204452,J0210,5 ML Methyldopate hydrochloride 50 MG/ML Injection,SCD
351298,J0215,alefacept 30 MG/ML Injectable Solution,SCD
351299,J0215,alefacept 15 MG/ML Injectable Solution,SCD
629568,J0220,alglucosidase alfa 50 MG Injection,SCD
1661208,J0256,"alpha 1-proteinase inhibitor, human 1 MG Injection",SCD
1234236,J0270,1 ML Alprostadil 0.01 MG/ML Cartridge,SCD
1234239,J0270,1 ML Alprostadil 0.02 MG/ML Cartridge,SCD
1234241,J0270,1 ML Alprostadil 0.04 MG/ML Cartridge,SCD
199596,J0270,Alprostadil 0.005 MG Injection,SCD
226921,J0270,Alprostadil 0.04 MG Injection,SCD
237212,J0270,1 ML Alprostadil 0.5 MG/ML Injection,SCD
242690,J0270,Alprostadil 0.01 MG Injection,SCD
242691,J0270,Alprostadil 0.02 MG Injection,SCD
308051,J0275,Alprostadil 1 MG Urethral Suppository,SCD
308052,J0275,Alprostadil 0.25 MG Urethral Suppository,SCD
